ID,Week,Group,StO2,tHb,HbO2,dHb,Day,Date
DG021,1,C1,0.779,4.18,3.25622,0.92378,5,5-Jan
DG021,2,C1,0.691,4.94,3.41354,1.52646,12,12-Jan
DG021,3,C1,0.751,4.93,3.70243,1.22757,19,19-Jan
DG021,4,C1,0.974,4.84,4.71416,0.12584,26,26-Jan
DG021,5,C1,0.752,4.45,3.3464,1.1036,33,30-Oct
DG021,6,C1,0.717,5.06,3.62802,1.43198,40,6-Nov
DG021,7,C1,0.818,5.25,4.2945,0.9555,47,13-Nov
DG021,8,C1,0.79,5.19,4.1001,1.0899,54,20-Nov
DG022,1,C1,0.786,4.95,3.8907,1.0593,5,5-Jan
DG022,2,C1,0.81,4.6,3.726,0.874,12,12-Jan
DG022,3,C1,0.778,3.96,3.08088,0.87912,19,19-Jan
DG022,4,C1,0.781,4.4,3.4364,0.9636,26,26-Jan
DG022,5,C1,0.842,3.8,3.1996,0.6004,33,30-Oct
DG022,6,C1,0.732,5.22,3.82104,1.39896,40,6-Nov
DG022,7,C1,0.744,4.53,3.37032,1.15968,47,13-Nov
DG022,8,C1,0.832,5.08,4.22656,0.85344,54,20-Nov
DG023,1,C1,0.768,3.93,3.01824,0.91176,5,5-Jan
DG023,2,C1,0.82,4.12,3.3784,0.7416,12,12-Jan
DG023,3,C1,0.79,4.33,3.4207,0.9093,19,19-Jan
DG023,4,C1,0.811,4.5,3.6495,0.8505,26,26-Jan
DG023,5,C1,0.783,4.85,3.79755,1.05245,33,30-Oct
DG023,6,C1,0.813,4.57,3.71541,0.85459,40,6-Nov
DG023,7,C1,0.808,4.87,3.93496,0.93504,47,13-Nov
DG023,8,C1,0.674,4.96,3.34304,1.61696,54,20-Nov
DG024,1,C2,0.854,4.41,3.76614,0.64386,5,5-Jan
DG024,2,C2,0.808,4.91,3.96728,0.94272,12,12-Jan
DG024,6,C2,0.71,4.48,3.1808,1.2992,40,6-Nov
DG024,7,C2,0.798,4.36,3.47928,0.88072,47,13-Nov
DG024,8,C2,0.622,4.58,2.84876,1.73124,54,20-Nov
DG025,1,C2,0.71,5,3.55,1.45,5,5-Jan
DG025,2,C2,0.702,4.56,3.20112,1.35888,12,12-Jan
DG025,3,C2,0.78,3.86,3.0108,0.8492,19,19-Jan
DG025,4,C2,0.882,4.54,4.00428,0.53572,26,23-Oct
DG025,5,C2,0.784,4.11,3.22224,0.88776,33,30-Oct
DG025,6,C2,0.841,4.17,3.50697,0.66303,40,6-Nov
DG025,7,C2,0.714,4.87,3.47718,1.39282,47,13-Nov
DG025,8,C2,0.802,3.22,2.58244,0.63756,54,20-Nov
DG026,1,T1,0.775,4.58,3.5495,1.0305,1,28-Sep
